DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/01/2016,4:35,BRONX,10455,40.8150841,-73.90012,"(40.8150841, -73.90012)",LEGGETT AVENUE,BECK STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3363421,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/01/2016,4:32,BROOKLYN,11212,40.6547385,-73.9069229,"(40.6547385, -73.9069229)",LINDEN BOULEVARD,ROCKAWAY AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3363797,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/01/2016,4:30,BRONX,10451,40.8192853,-73.924024,"(40.8192853, -73.924024)",PARK AVENUE,EAST 151 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3363686,AMBULANCE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
01/01/2016,4:30,,,,,,30 AVENUE,30 STREET,,0,0,0,0,0,0,0,0,Illness,Driver Inattention/Distraction,,,,3364423,TAXI,TAXI,,,
01/01/2016,4:30,QUEENS,11691,40.5955618,-73.7471003,"(40.5955618, -73.7471003)",SEAGIRT BOULEVARD,BEACH 13 STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3363538,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/01/2016,4:30,QUEENS,11375,40.7265701,-73.8526393,"(40.7265701, -73.8526393)",QUEENS BOULEVARD,67 ROAD,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3363583,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,4:25,MANHATTAN,10002,40.7222418,-73.9862873,"(40.7222418, -73.9862873)",EAST HOUSTON STREET,AVENUE A,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3363368,TAXI,TAXI,,,
01/01/2016,4:21,BROOKLYN,11213,40.6729676,-73.9418587,"(40.6729676, -73.9418587)",KINGSTON AVENUE,PARK PLACE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3363826,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,4:18,BROOKLYN,11218,40.6334876,-73.9745818,"(40.6334876, -73.9745818)",EAST 4 STREET,AVENUE F,,1,0,0,0,0,0,1,0,Alcohol Involvement,,,,,3363786,PASSENGER VEHICLE,,,,
01/01/2016,4:16,,,,,,BUSHWICK AVENUE,GREENE AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3363848,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,4:15,MANHATTAN,10010,40.7388307,-73.9831481,"(40.7388307, -73.9831481)",EAST 23 STREET,3 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3363373,SPORT UTILITY / STATION WAGON,TAXI,,,
01/01/2016,4:10,BROOKLYN,11213,40.6685062,-73.9256052,"(40.6685062, -73.9256052)",EASTERN PARKWAY,BUFFALO AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3363820,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,4:07,QUEENS,11432,40.7027387,-73.802286,"(40.7027387, -73.802286)",JAMAICA AVENUE,153 STREET,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,3363891,PASSENGER VEHICLE,UNKNOWN,,,
01/01/2016,4:00,QUEENS,11436,40.6748475,-73.7998235,"(40.6748475, -73.7998235)",141 STREET,123 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3363987,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/01/2016,4:00,QUEENS,11101,40.7355527,-73.9347786,"(40.7355527, -73.9347786)",BRADLEY AVENUE,GREENPOINT AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3363933,SPORT UTILITY / STATION WAGON,TAXI,,,
01/01/2016,4:00,BROOKLYN,11222,40.7308373,-73.9516331,"(40.7308373, -73.9516331)",,,F/O 256 MCGUINNESS BOULEVARD,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3365505,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,3:51,BROOKLYN,11207,40.6618355,-73.8931046,"(40.6618355, -73.8931046)",PENNSYLVANIA AVENUE,NEW LOTS AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3363809,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
01/01/2016,3:50,MANHATTAN,10003,40.7277455,-73.991276,"(40.7277455, -73.991276)",COOPER SQUARE,EAST 5 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3363366,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,3:46,BROOKLYN,11209,40.6291045,-74.0346392,"(40.6291045, -74.0346392)",COLONIAL ROAD,80 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3363778,LIVERY VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,3:45,BRONX,10458,40.8571285,-73.8807926,"(40.8571285, -73.8807926)",SOUTHERN BOULEVARD,EAST FORDHAM ROAD,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3363734,LIVERY VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,3:41,BROOKLYN,11213,40.6774132,-73.9303181,"(40.6774132, -73.9303181)",ATLANTIC AVENUE,UTICA AVENUE,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3363822,PASSENGER VEHICLE,TAXI,,,
01/01/2016,3:40,BROOKLYN,11213,40.6635556,-73.9316086,"(40.6635556, -73.9316086)",EMPIRE BOULEVARD,UTICA AVENUE,,0,0,0,0,0,0,0,0,Prescription Medication,Unspecified,,,,3363516,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/01/2016,3:39,MANHATTAN,10034,40.8663357,-73.9250042,"(40.8663357, -73.9250042)",ACADEMY STREET,BROADWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3363416,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,3:38,BROOKLYN,11231,40.6760673,-74.0050797,"(40.6760673, -74.0050797)",MILL STREET,HICKS STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3363525,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
